,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,ALFONSIN –    MARTINEZ (UNION CIVICA RADICAL),1269352,0.6426000000000001
1,CAPITAL FEDERAL,LUDER - BITTEL    (JUSTICIALISTA),540389,0.2736
2,CAPITAL FEDERAL,ALENDE - VIALE    (INTRANSIGENTE),88480,0.044800000000000006
3,CAPITAL FEDERAL,ALSOGARAY -    ORIA (UNION DEL CENTRO DEMOCRATICO),25263,0.0128
4,CAPITAL FEDERAL,FRIGERIO -    SALONIA (MOVIMIENTO DE INTEGRACION Y DESARROLLO),14480,0.0073
5,CAPITAL FEDERAL,MANRIQUE -    RAWSON (ALIANZA FEDERAL),14190,0.0072
6,CAPITAL FEDERAL,ZAMORA - DIAZ    (MOVIMIENTO AL SOCIALISMO),7854,0.004
7,CAPITAL FEDERAL,MARTINEZ    RAYMONDA - BALESTRA (ALIANZA DEMOCRATA SOCIALISTA),6238,0.0032
8,CAPITAL FEDERAL,CERRO -    PONSATI (DEMOCRATA CRISTIANO),3630,0.0018
9,CAPITAL FEDERAL,FLORES -    GUAGNINI (OBRERO),2606,0.0013
10,CAPITAL FEDERAL,ESTEVEZ BOERO    - ROSSI (SOCIALISTA POPULAR),1740,0.0009
11,CAPITAL FEDERAL,RAMOS -    COLOMBO (FRENTE DE IZQUIERDA POPULAR),1035,0.0005
12,CAPITAL FEDERAL,VOTOS POSITIVOS,1975257,0.9834
13,BUENOS AIRES,ALFONSIN – MARTINEZ (UNION CIVICA RADICAL),2878858,0.5141
14,BUENOS AIRES,LUDER - BITTEL (JUSTICIALISTA) ,2364585,0.42229999999999995
15,BUENOS AIRES,ALENDE - VIALE (INTRANSIGENTE),181488,0.032400000000000005
16,BUENOS AIRES,FRIGERIO - SALONIA (MOVIMIENTO DE INTEGRACION Y DESARROLLO),47004,0.0084
17,BUENOS AIRES,MANRIQUE - RAWSON (ALIANZA FEDERAL),33203,0.0059
18,BUENOS AIRES,ALSOGARAY - ORIA (UNION DEL CENTRO DEMOCRATICO),24882,0.0044
19,BUENOS AIRES,ZAMORA - DIAZ (MOVIMIENTO AL SOCIALISMO),24462,0.0044
20,BUENOS AIRES,MARTINEZ RAYMONDA - BALESTRA (ALIANZA DEMOCRATA SOCIALISTA),13785,0.0025
21,BUENOS AIRES,CERRO - PONSATI (DEMOCRATA CRISTIANO),12764,0.0023
22,BUENOS AIRES,FLORES - GUAGNINI (OBRERO),6173,0.0011
23,BUENOS AIRES,ESTEVEZ BOERO - ROSSI (SOCIALISTA POPULAR),4816,0.0009
24,BUENOS AIRES,RAMOS - COLOMBO (FRENTE DE IZQUIERDA POPULAR),4074,0.0007000000000000001
25,BUENOS AIRES,CONSERVADOR PRINCIPISTA ,3000,0.0005
26,BUENOS AIRES,RENOVADOR DE LA PROVINCIA ,448,0.0001
27,BUENOS AIRES,VOTOS POSITIVOS,5599542,0.9723
28,CATAMARCA,ALFONSIN - MARTINEZ (UNION CIVICA RADICAL),48595,0.4679
29,CATAMARCA,LUDER - BITTEL (JUSTICIALISTA),45329,0.4365
30,CATAMARCA,MOVIMIENTO POPULAR CATAMARQUEÑO,4464,0.043
31,CATAMARCA,LA VOZ DEL PUEBLO,2735,0.0263
32,CATAMARCA,FRIGERIO - SALONIA (MOVIMIENTO DE INTEGRACION Y DESARROLLO),805,0.0078000000000000005
33,CATAMARCA,ALENDE - VIALE (INTRANSIGENTE),602,0.0058
34,CATAMARCA,CERRO - PONSATI (DEMOCRATA CRISTIANO),491,0.004699999999999999
35,CATAMARCA,DEMOCRATA DE CATAMARCA,401,0.0039000000000000003
36,CATAMARCA,MANRIQUE - RAWSON (ALIANZA FEDERAL),219,0.0021
37,CATAMARCA,MARTINEZ RAYMONDA - BALESTRA (SOCIALISTA DEMOCRATICO),127,0.0012
38,CATAMARCA,ZAMORA - DIAZ (MOVIMIENTO AL SOCIALISMO),89,0.0009
39,CATAMARCA,VOTOS POSITIVOS,103857,0.965
40,CHACO,LUDER - BITTEL (JUSTICIALISTA),158721,0.47979999999999995
41,CHACO,ALFONSIN - MARTINEZ (UNION CIVICA RADICAL),153971,0.46549999999999997
42,CHACO,FRIGERIO - SALONIA (MOVIMIENTO DE INTEGRACION Y DESARROLLO),7141,0.0216
43,CHACO,MOVIMIENTO DE UNIDAD CHAQUEÑA,2853,0.0086
44,CHACO,SOCIALISTA,2289,0.0069
45,CHACO,CERRO - PONSATI (DEMOCRATA CRISTIANO),1688,0.0051
46,CHACO,ALENDE - VIALE (INTRANSIGENTE),1391,0.0042
47,CHACO,MANRIQUE - RAWSON (ALIANZA FEDERAL),1385,0.0042
48,CHACO,RAMOS - COLOMBO (FRENTE DE IZQUIERDA POPULAR),496,0.0015
49,CHACO,MARTINEZ RAYMONDA - BALESTRA (ALIANZA DEMOCRATA SOCIALISTA),428,0.0013
50,CHACO,ZAMORA - DIAZ (MOVIMIENTO AL SOCIALISMO),266,0.0008
51,CHACO,MANRIQUE - RAWSON (MOVIMIENTO LINEA POPULAR),151,0.0005
52,CHACO,VOTOS POSITIVOS,330780,0.9688
53,CHUBUT,ALFONSIN –    MARTINEZ (UNION CIVICA RADICAL),56912,0.5085000000000001
54,CHUBUT,LUDER - BITTEL    (JUSTICIALISTA),46400,0.4146
55,CHUBUT,ACCION    CHUBUTENSE,2640,0.0236
56,CHUBUT,FRIGERIO -    SALONIA (MOVIMIENTO DE INTEGRACION Y DESARROLLO),2362,0.021099999999999997
57,CHUBUT,ALENDE - VIALE    (INTRANSIGENTE),1957,0.0175
