,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,BORDON - ALVAREZ (ALIANZA    FRENTE PAIS SOLIDARIO),899230,0.44530000000000003
1,CAPITAL FEDERAL,MENEM -    RUCKAUF (JUSTICIALISTA - UNION DEL CENTRO DEMOCRATICO - FEDERAL - FRENTE    RECUPERACION ETICA),842365,0.4171
2,CAPITAL FEDERAL,MASSACCESI -    HERNANDEZ (UNION CIVICA RADICAL),215382,0.1066
3,CAPITAL FEDERAL,RICO -    FERNANDEZ PEZZANO (MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA),24997,0.0124
4,CAPITAL FEDERAL,SOLANAS -    IMIZCOZ (ALIANZA SUR),11920,0.0059
5,CAPITAL FEDERAL,MAZZITELLI -    FONSECA (SOCIALISMO AUTENTICO),7018,0.0034999999999999996
6,CAPITAL FEDERAL,MENDEZ -    AMBROSIO (HUMANISTA),5172,0.0026
7,CAPITAL FEDERAL,ZAMORA - DIAZ    (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),4508,0.0022
8,CAPITAL FEDERAL,ALTAMIRA -    MOLLE (ALIANZA FRENTE UNIDAD DE LOS TRABAJADORES - OBRERO),3642,0.0018
9,CAPITAL FEDERAL,CHRISTIANSEN -    MONTES (MOVIMIENTO AL SOCIALISMO – DE LOS TRABAJADORES SOCIALISTAS),2549,0.0013
10,CAPITAL FEDERAL,TUMINI - REYNA    (CORRIENTE PATRIA LIBRE),2001,0.001
11,CAPITAL FEDERAL,SANTUCHO -    ANTOGNAZZI (MOVIMIENTO DEMOCRATICO POPULAR ANTIIMPERIALISTA),798,0.0004
12,BUENOS AIRES,BORDON - ALVAREZ (ALIANZA FRENTE PAIS SOLIDARIO),1965708,0.2979
13,BUENOS AIRES,MASSACCESI - HERNANDEZ (UNION CIVICA RADICAL),916912,0.1389
14,BUENOS AIRES,RICO - FERNANDEZ PEZZANO (MOVIMIENTO POR LA DIGNIDAD Y LA    INDEPENDENCIA),153779,0.0233
15,BUENOS AIRES,SOLANAS - IMIZCOZ (ALIANZA SUR),31831,0.0048
16,BUENOS AIRES,ZAMORA - DIAZ (MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES),24712,0.0037
17,BUENOS AIRES,MAZZITELLI - FONSECA (SOCIALISMO AUTENTICO),23379,0.0034999999999999996
18,BUENOS AIRES,ALTAMIRA - MOLLE (ALIANZA FRENTE UNIDAD DE LOS TRABAJADORES -    OBRERO) ,16356,0.0025
19,BUENOS AIRES,CHRISTIANSEN - MONTES (MOVIMIENTO AL SOCIALISMO – DE LOS    TRABAJADORES SOCIALISTAS),15166,0.0023
20,BUENOS AIRES,MENDEZ - AMBROSIO (HUMANISTA),12776,0.0019
21,BUENOS AIRES,TUMINI - REYNA (CORRIENTE PATRIA LIBRE),8757,0.0013
22,BUENOS AIRES,SANTUCHO - ANTOGNAZZI (MOVIMIENTO DEMOCRATICO POPULAR ANTIIMPERIALISTA),8571,0.0013
23,BUENOS AIRES,PAZ - GONZALEZ CHAVEZ (ALIANZA FRENTE PARA LA COINCIDENCIA    PATRIOTICA),2023,0.0003
24,BUENOS AIRES,VOTOS POSITIVOS,6599059,0.9568000000000001
25,CATAMARCA,MASSACCESI - HERNANDEZ (UNION CIVICA RADICAL),37528,0.3081
