,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
0,CAPITAL FEDERAL,LOPEZ MURPHY -    GOMEZ DIEZ (ALIANZA MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO), 506631 ,25.85
1,CAPITAL FEDERAL,CARRIO -    GUTIERREZ (ALIANZA AFIRMACION PARA UNA REPUBLICA IGUALITARIA), 389321 ,19.86
2,CAPITAL FEDERAL,KIRCHNER -    SCIOLI (ALIANZA FRENTE PARA LA VICTORIA), 381334 ,19.46
3,CAPITAL FEDERAL,MENEM - ROMERO    (ALIANZA FRENTE POR LA LEALTAD - UNION DEL CENTRO DEMOCRATICO), 314528 ,16.05
4,CAPITAL FEDERAL,RODRIGUEZ SAA    - POSSE (ALIANZA FRENTE MOVIMIENTO POPULAR - UNION Y LIBERTAD), 160913 ,8.21
5,CAPITAL FEDERAL,WALSH -    PARRILLI (ALIANZA IZQUIERDA UNIDA), 56357 ,2.88
6,CAPITAL FEDERAL,BRAVO -    GIUSTINIANI (SOCIALISTA), 50997 ,2.60
7,CAPITAL FEDERAL,VENTURINO -    PINTO KRAMER (CONFEDERACION PARA QUE SE VAYAN TODOS), 16739 ,0.85
8,CAPITAL FEDERAL,MOREAU -    LOSADA (UNION CIVICA RADICAL), 16330 ,0.83
9,CAPITAL FEDERAL,SULLING -    AMBROSIO (HUMANISTA), 16215 ,0.83
10,CAPITAL FEDERAL,ALTAMIRA -    SALAS (OBRERO), 14713 ,0.75
11,CAPITAL FEDERAL,ARCAGNI -    ZENOF (ALIANZA TIEMPOS DE CAMBIO - UNION POPULAR), 10936 ,0.56
12,CAPITAL FEDERAL,MAZZITELLI -    CAMPS (SOCIALISTA AUTENTICO), 7210 ,0.37
13,CAPITAL FEDERAL,HERRERA -    CUNEO (DEMOCRATA CRISTIANO), 6263 ,0.32
14,CAPITAL FEDERAL,BREIDE OBEID -    VASENA (POPULAR DE LA RECONSTRUCCION), 3947 ,0.20
15,CAPITAL FEDERAL,ZAFFORE -    PERIE (MOVIMIENTO DE INTEGRACION Y DESARROLLO), 2974 ,0.15
16,CAPITAL FEDERAL,MUSSA - SUAREZ    (ALIANZA UNIDOS O DOMINADOS), 2726 ,0.14
17,CAPITAL FEDERAL,TERAN -    BONACCI (MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA), 1736 ,0.09
18,BUENOS AIRES,KIRCHNER - SCIOLI (ALIANZA FRENTE PARA LA VICTORIA), 1910516 ,25.72
19,BUENOS AIRES,MENEM - ROMERO (ALIANZA FRENTE POR LA LEALTAD - UNION DEL CENTRO    DEMOCRATICO), 1515638 ,20.40
20,BUENOS AIRES,LOPEZ MURPHY - GOMEZ DIEZ (ALIANZA MOVIMIENTO FEDERAL PARA    RECREAR EL CRECIMIENTO), 1176058 ,15.83
21,BUENOS AIRES,CARRIO - GUTIERREZ (ALIANZA AFIRMACION PARA UNA REPUBLICA    IGUALITARIA), 1136160 ,15.30
22,BUENOS AIRES,RODRIGUEZ SAA- POSSE (ALIANZA FRENTE MOVIMIENTO POPULAR - UNION    Y LIBERTAD), 1027635 ,13.83
23,BUENOS AIRES,WALSH - PARRILLI (ALIANZA IZQUIERDA UNIDA), 169757 ,2.29
24,BUENOS AIRES,BRAVO - GIUSTINIANI (SOCIALISTA), 88556 ,1.19
25,BUENOS AIRES,MOREAU - LOSADA (UNION CIVICA RADICAL), 82302 ,1.11
26,BUENOS AIRES,VENTURINO - PINTO KRAMER (CONFEDERACION PARA QUE SE VAYAN TODOS), 74534 ,1.00
